iter	Passed	Remaining
0	58	58811
1	59	29508
2	59	19750
3	59	14864
4	59	11932
5	60	9977
6	60	8577
7	60	7530
8	60	6713
9	61	6060
10	61	5525
11	61	5079
12	61	4706
13	62	4387
14	62	4108
15	62	3862
16	63	3647
17	63	3453
18	63	3283
19	63	3128
20	64	2988
21	64	2860
22	64	2745
23	64	2638
24	65	2539
25	65	2447
26	65	2362
27	65	2284
28	66	2212
29	66	2145
30	66	2081
31	66	2022
32	67	1966
33	67	1913
34	67	1862
35	67	1814
36	68	1769
37	68	1727
38	68	1687
39	68	1648
40	68	1612
41	69	1578
42	69	1545
43	69	1514
44	69	1485
45	70	1456
46	70	1429
47	70	1402
48	70	1377
49	71	1354
50	71	1331
51	71	1308
52	72	1287
53	72	1266
54	72	1246
55	72	1226
56	73	1207
57	73	1190
58	73	1173
59	73	1155
60	74	1139
61	74	1124
62	74	1110
63	74	1095
64	75	1080
65	75	1066
66	75	1052
67	75	1040
68	76	1026
69	76	1014
70	76	1001
71	76	989
72	77	978
73	77	966
74	77	955
75	77	944
76	77	934
77	78	923
78	78	914
79	78	904
80	78	895
81	79	886
82	79	875
83	79	867
84	79	858
85	79	849
86	80	841
87	80	833
88	80	825
89	80	818
90	81	811
91	81	804
92	81	797
93	82	790
94	82	783
95	82	776
96	82	769
97	82	762
98	83	756
99	83	749
100	83	743
101	83	737
102	84	731
103	84	725
104	84	720
105	84	715
106	85	710
107	85	704
108	85	699
109	85	694
110	86	689
111	86	684
112	86	680
113	86	675
114	87	670
115	87	665
116	87	660
117	87	656
118	88	651
119	88	647
120	88	642
121	88	637
122	88	633
123	89	629
124	89	625
125	89	621
126	89	616
127	89	612
128	90	609
129	90	605
130	90	601
131	90	597
132	91	594
133	91	590
134	91	587
135	91	583
136	92	580
137	92	576
138	92	573
139	92	570
140	93	566
141	93	562
142	93	559
143	93	556
144	93	553
145	94	550
146	94	547
147	94	544
148	94	541
149	95	538
150	95	535
151	95	532
152	95	529
153	95	526
154	96	524
155	96	521
156	96	518
