iter	Passed	Remaining
0	58	58498
1	58	29377
2	59	19644
3	59	14797
4	59	11883
5	59	9934
6	60	8550
7	60	7504
8	60	6700
9	61	6052
10	61	5522
11	61	5085
12	62	4710
13	62	4390
14	62	4115
15	62	3870
16	63	3653
17	63	3460
18	63	3286
19	63	3132
20	64	2994
21	64	2867
22	64	2750
23	64	2641
24	65	2543
25	65	2451
26	65	2369
27	65	2290
28	66	2216
29	66	2148
30	66	2084
31	66	2023
32	67	1966
33	67	1912
34	67	1862
35	67	1815
36	68	1770
37	68	1728
38	68	1687
39	68	1650
40	69	1614
41	69	1579
42	69	1546
43	69	1517
44	70	1494
45	70	1466
46	70	1438
47	71	1411
48	71	1386
49	71	1362
50	71	1338
51	72	1315
52	72	1294
53	72	1273
54	72	1253
55	73	1233
56	73	1214
57	73	1195
58	73	1177
59	74	1160
60	74	1144
61	74	1128
62	74	1113
63	75	1098
64	75	1083
65	75	1069
66	75	1055
67	75	1040
68	76	1026
69	76	1014
70	76	1002
71	76	990
72	77	978
73	77	967
74	77	956
75	77	945
76	78	935
77	78	925
78	78	915
79	78	906
80	79	896
81	79	887
82	79	878
83	79	869
84	79	859
85	80	851
86	80	841
87	80	833
88	80	825
89	80	818
90	81	810
91	81	803
92	81	796
93	81	789
94	82	782
95	82	776
96	82	769
97	82	762
98	83	756
99	83	749
100	83	743
101	83	736
102	83	730
103	84	724
104	84	718
105	84	713
106	84	707
107	85	702
108	85	701
109	86	696
110	86	691
111	86	686
112	86	681
113	87	676
114	87	671
115	87	666
116	87	661
117	87	657
118	88	652
119	88	648
120	88	643
121	88	639
122	88	634
123	89	629
124	89	626
125	89	622
126	89	618
127	90	613
128	90	609
129	90	606
130	90	602
131	91	598
132	91	594
133	91	591
134	91	587
135	91	583
136	92	580
137	92	576
138	92	573
139	92	569
140	93	566
141	93	563
142	93	560
143	93	557
144	94	555
145	94	552
146	94	549
147	94	545
148	95	542
149	95	540
150	95	537
151	95	534
152	96	531
153	96	529
154	96	526
155	96	523
156	97	521
157	97	518
158	97	515
159	97	513
160	97	510
161	98	508
162	98	505
163	98	503
164	98	500
165	99	498
166	99	495
167	99	493
168	100	491
169	100	489
170	100	487
171	100	485
172	101	484
173	101	482
174	101	480
175	102	477
176	102	475
177	102	473
178	102	471
179	102	469
180	103	466
181	103	464
182	103	462
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	104	450
189	105	448
190	105	446
191	105	444
192	105	443
193	106	441
194	106	439
195	106	437
196	106	435
197	107	433
198	107	431
199	107	430
200	107	428
201	108	427
202	108	425
203	108	423
204	108	421
205	108	419
206	109	418
207	109	416
208	109	415
209	110	413
210	110	412
211	110	410
212	110	409
213	111	407
214	111	406
215	111	404
216	111	403
217	111	401
218	112	399
219	112	398
220	112	396
221	112	395
222	113	393
223	113	392
224	113	390
225	113	389
226	114	388
227	114	386
228	114	385
229	114	384
230	114	382
231	115	381
232	115	380
233	115	378
234	115	377
235	116	376
236	116	375
237	116	374
238	117	372
239	117	371
240	117	370
241	117	369
242	118	368
243	118	366
244	118	365
245	118	364
246	119	363
247	119	362
248	119	360
249	119	359
250	120	358
251	120	357
252	120	355
253	120	354
254	121	353
255	121	352
256	121	351
257	121	350
258	121	348
259	122	347
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
266	123	340
267	124	338
268	124	337
269	124	336
270	124	335
271	125	334
272	125	333
273	125	332
274	125	331
275	126	330
276	126	329
277	126	328
278	126	327
279	126	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	130	313
293	130	312
294	130	311
295	130	310
296	130	309
297	131	308
298	131	307
299	131	307
300	131	306
301	132	305
302	132	305
303	133	304
304	133	304
305	133	303
306	134	302
307	134	301
308	134	300
309	134	300
310	135	299
311	135	298
312	135	297
313	135	296
314	136	295
315	136	295
316	136	294
317	136	293
318	137	292
319	137	291
320	137	291
321	137	290
322	138	289
323	138	288
324	138	287
325	138	286
326	139	286
327	139	285
328	139	285
329	140	284
330	140	283
331	140	282
332	140	282
333	141	281
334	141	280
335	141	279
336	141	279
337	142	278
338	142	277
339	142	277
340	143	276
341	143	275
342	143	275
343	143	274
344	144	273
345	144	273
346	144	272
347	144	271
348	145	270
349	145	270
350	145	269
351	145	268
352	146	267
353	146	267
354	146	266
355	146	265
356	147	264
357	147	264
358	147	263
359	148	263
360	148	262
361	148	261
362	148	260
363	148	260
364	149	259
365	149	258
366	149	258
367	149	257
368	150	256
369	150	255
370	150	255
371	150	254
372	151	254
373	151	253
374	151	252
375	151	251
376	152	251
377	152	250
378	152	249
379	152	249
380	153	248
381	153	247
382	153	247
383	153	246
384	154	246
385	154	245
386	154	244
387	154	244
388	155	243
389	155	242
390	155	242
391	155	241
392	156	240
393	156	240
394	156	239
395	156	239
396	157	238
397	157	237
398	157	237
399	157	236
400	157	235
401	158	235
402	158	234
403	158	233
404	158	233
405	159	232
406	159	232
407	159	231
408	159	230
409	159	230
410	160	229
411	160	228
412	160	228
413	160	227
414	161	227
415	161	226
416	161	225
417	161	225
418	162	224
419	162	224
420	162	223
421	162	223
422	163	222
423	163	221
424	163	221
425	163	220
426	164	220
427	164	219
428	164	218
429	164	218
430	164	217
431	165	217
432	165	216
433	165	215
434	165	215
435	166	214
436	166	214
437	166	213
